name,x_position,y_position,sample,ratio,rendering_time
fishy_cat,0,3,100,1,5.939736843109131
fishy_cat,1,0,100,1,22.79514217376709
fishy_cat,1,1,100,1,20.16288447380066
fishy_cat,1,2,100,1,8.980314254760742
fishy_cat,1,3,100,1,6.235546350479126
fishy_cat,2,0,100,1,25.038164854049683
fishy_cat,2,1,100,1,39.807862281799316
fishy_cat,2,2,100,1,22.246570587158203
fishy_cat,2,3,100,1,5.898404359817505
fishy_cat,3,0,100,1,23.115338802337646
fishy_cat,3,1,100,1,16.261390924453735
fishy_cat,3,2,100,1,8.570754528045654
fishy_cat,3,3,100,1,5.905911922454834
fishy_cat,0,0,200,1,39.51159858703613
fishy_cat,0,1,200,1,36.081838846206665
fishy_cat,0,2,200,1,11.467256784439087
fishy_cat,0,3,200,1,9.871291875839233
fishy_cat,1,0,200,1,43.45678210258484
fishy_cat,1,1,200,1,37.7641761302948
fishy_cat,1,2,200,1,15.56387972831726
fishy_cat,1,3,200,1,9.87533950805664
fishy_cat,2,0,200,1,48.108614444732666
fishy_cat,2,1,200,1,77.59147238731384
fishy_cat,2,2,200,1,42.36754846572876
fishy_cat,2,3,200,1,9.723002672195435
fishy_cat,3,0,200,1,44.4679057598114
fishy_cat,3,1,200,1,30.332502126693726
fishy_cat,3,2,200,1,15.200021028518677
fishy_cat,3,3,200,1,9.68222951889038
fishy_cat,0,0,300,1,58.39572215080261
fishy_cat,0,1,300,1,53.375957012176514
fishy_cat,0,2,300,1,16.48254680633545
fishy_cat,0,3,300,1,13.959829807281494
fishy_cat,1,0,300,1,64.20033383369446
fishy_cat,1,1,300,1,55.839953899383545
fishy_cat,1,2,300,1,22.497230052947998
fishy_cat,1,3,300,1,14.064460039138794
fishy_cat,2,0,300,1,71.44625449180603
fishy_cat,2,1,300,1,115.46813702583313
fishy_cat,2,2,300,1,62.6451621055603
fishy_cat,2,3,300,1,13.802926540374756
fishy_cat,3,0,300,1,65.79630780220032
fishy_cat,3,1,300,1,44.58787274360657
fishy_cat,3,2,300,1,21.860035181045532
fishy_cat,3,3,300,1,13.816304683685303
fishy_cat,0,0,400,1,77.15858149528503
fishy_cat,0,1,400,1,70.54742550849915
fishy_cat,0,2,400,1,21.447388172149658
fishy_cat,0,3,400,1,18.00493311882019
fishy_cat,1,0,400,1,85.51048922538757
fishy_cat,1,1,400,1,73.64803862571716
fishy_cat,1,2,400,1,29.262852668762207
fishy_cat,1,3,400,1,18.04655122756958
fishy_cat,2,0,400,1,94.27964878082275
fishy_cat,2,1,400,1,153.47355031967163
fishy_cat,2,2,400,1,82.83120656013489
fishy_cat,2,3,400,1,17.8004732131958
fishy_cat,3,0,400,1,87.18146800994873
fishy_cat,3,1,400,1,58.691182374954224
fishy_cat,3,2,400,1,28.517401456832886
fishy_cat,3,3,400,1,17.604270935058594
fishy_cat,0,0,500,1,96.12003803253174
fishy_cat,0,1,500,1,87.45619606971741
fishy_cat,0,2,500,1,25.79024052619934
fishy_cat,0,3,500,1,21.854846954345703
fishy_cat,1,0,500,1,105.8568823337555
fishy_cat,1,1,500,1,91.99004983901978
fishy_cat,1,2,500,1,36.05564069747925
fishy_cat,1,3,500,1,21.85563564300537
fishy_cat,2,0,500,1,117.08195185661316
fishy_cat,2,1,500,1,191.53191423416138
fishy_cat,2,2,500,1,103.74976372718811
fishy_cat,2,3,500,1,21.52071738243103
fishy_cat,3,0,500,1,108.49436902999878
fishy_cat,3,1,500,1,72.8599841594696
fishy_cat,3,2,500,1,35.18752384185791
fishy_cat,3,3,500,1,21.392943620681763
fishy_cat,0,0,1000,1,191.59326934814453
fishy_cat,0,1,1000,1,175.06869530677795
fishy_cat,0,2,1000,1,50.633289098739624
fishy_cat,0,3,1000,1,41.83681797981262
fishy_cat,1,0,1000,1,212.1060745716095
fishy_cat,1,1,1000,1,183.70260214805603
fishy_cat,1,2,1000,1,70.8497622013092
fishy_cat,1,3,1000,1,41.96870994567871
fishy_cat,2,0,1000,1,234.77179408073425
fishy_cat,2,1,1000,1,384.9872856140137
fishy_cat,2,2,1000,1,207.6120629310608
fishy_cat,2,3,1000,1,41.689993143081665
fishy_cat,3,0,1000,1,218.6509883403778
fishy_cat,3,1,1000,1,145.3288426399231
fishy_cat,3,2,1000,1,68.73813390731812
